name,freelance,createdAt,profileName,totalNumberOfFollowing,totalNumberOfFollowers,vizCount,visibleWorkbookCount,lastPublishDate,organization,title,bio,featuredVizRepoUrl,profileUrl,country,state,city
California Department of Social Services,False,2019-06-01,california.department.of.social.services,0,20,152,1,2021-11-10,,,,,https://public.tableau.com/app/profile/california.department.of.social.services,,,
California Apprenticeship,False,2021-08-01,california.apprenticeship,0,2,17,2,2021-10-18,,California Division of Apprenticeship Standards consults with employers to develop a skilled workforce with viable career pathways to increase productivity and strengthen our economy.,"DAS creates opportunities for Californians to obtain skills leading to gainful employment and provides employers with a highly skilled and experienced workforce while strengthening California's economy.

The division carries out this mission by administering California apprenticeship law and enforcing apprenticeship standards regarding wages, hours, working conditions, and the specific skills required for state certification as a journeyperson in an occupation that is appropriate for apprenticeship.",,https://public.tableau.com/app/profile/california.apprenticeship,,,
Public Policy Institute of California,False,2018-05-01,public.policy.institute.of.california,0,11,42,11,2021-09-14,PPIC,,"Informing and improving public policy through independent, objective, nonpartisan research",,https://public.tableau.com/app/profile/public.policy.institute.of.california,United States,California,
California State Auditor,False,2017-02-01,california.state.auditor,0,6,31,11,2020-11-17,California State Auditor's Office,,"The California State Auditor promotes the efficient and effective management of public funds and programs by providing to citizens and the State independent, objective, accurate, and timely evaluations of state and local governments' activities.",,https://public.tableau.com/app/profile/california.state.auditor,United States,California,Sacramento
Community College League of California,False,2018-06-01,community.college.league.of.california,0,5,20,7,2021-09-10,Community College League of California (League or CCLC),,"Our Vision: Quality Public Community Colleges for All Californians

The Community College League of California (League or CCLC) is a nonprofit public benefit corporation whose membership consists of all 72 local public community college districts in California. We support locally elected trustees and college CEOs, serve their communities by advocating on their behalf in Sacramento and Washington, D.C., and by providing continuing education services and utilizing economies of scale to keep the cost of services low.",,https://public.tableau.com/app/profile/community.college.league.of.california,United States,California,Sacramento
California Dropout Research Project,False,,california.dropout.research.project,0,4,145,43,2019-03-27,,,,,https://public.tableau.com/app/profile/california.dropout.research.project,,,
California State University Channel Islands IRPE,False,2016-12-01,california.state.university.channel.islands.irpe,1,10,113,34,2018-01-31,CSU Channel Islands,,,IRPEISMOVING,https://public.tableau.com/app/profile/california.state.university.channel.islands.irpe,United States,California,Camarillo
California Department of Social Services,False,2019-03-01,cadeptofsocialservices,0,3,172,0,2021-09-24,,,,,https://public.tableau.com/app/profile/cadeptofsocialservices,United States,California,
MORENA Baja California,False,2018-06-01,morena.bc,0,1,123,8,2018-07-19,Morena Baja California,,,,https://public.tableau.com/app/profile/morena.bc,Mexico,Baja California,Tijuana
Save California Streets,False,2016-10-01,savecaliforniastreets,0,1,44,6,2018-05-16,Save California Streets,,,,https://public.tableau.com/app/profile/savecaliforniastreets,United States,California,
United Ways of California,False,,hgascon,1,1,197,52,2021-10-01,,,,,https://public.tableau.com/app/profile/hgascon,United States,California,
Duff California,False,2019-03-01,duff.california,0,0,80,2,2020-09-23,,,,,https://public.tableau.com/app/profile/duff.california,,,
Diane California,False,2018-07-01,diane.xing,1,0,3,2,2018-08-28,,,,,https://public.tableau.com/app/profile/diane.xing,United States,California,
Medical Board of California,False,2021-01-01,medical.board.of.california,0,0,84,24,2021-06-04,,,,,https://public.tableau.com/app/profile/medical.board.of.california,,,
California Insititute of the Arts,False,2020-10-01,california.insititute.of.the.arts,0,0,24,2,2021-10-21,,,,,https://public.tableau.com/app/profile/california.insititute.of.the.arts,,,
Playing with California Data,False,2020-08-01,kenneth.babey,0,0,1,1,2020-08-15,,,,,https://public.tableau.com/app/profile/kenneth.babey,United States,California,
